Molecule_ID,λem,condition λem,Φ PLQY,condition Φ PLQY,FWHM,condition FWHM
TADF-M-00000,364.0,PMMA,,,,
TADF-M-00001,415.0,PMMA,44.0,PMMA,,
TADF-M-00002,500.0,neat film,33.0,neat film,,
TADF-M-00003,495.0,neat film,20.0,neat film,,
TADF-M-00004,540.0,neat film,2.0,neat film,,
TADF-M-00005,420.0,DPEPO,42.0,DPEPO,,
TADF-M-00006,404.0,PMMA,75.0,PMMA,,
TADF-M-00007,420.0,PMMA,37.0,zeonex,,
TADF-M-00008,412.0,PMMA,74.0,PMMA,,
TADF-M-00009,475.0,PMMA,5.0,PMMA,,
TADF-M-00010,408.0,toluene,80.0,toluene,,
TADF-M-00011,496.0,PMMA,75.0,PMMA,,
TADF-M-00012,442.0,toluene,6.0,toluene,,
TADF-M-00013,464.0,toluene,50.0,toluene,,
TADF-M-00014,402.0,toluene,81.0,toluene,,
TADF-M-00015,537.0,toluene,100.0,toluene,,
TADF-M-00016,437.0,DPEPO,71.0,DPEPO,,
TADF-M-00017,435.0,DPEPO,75.0,DPEPO,,
TADF-M-00018,490.0,toluene,67.0,toluene,,
TADF-M-00019,462.0,toluene,40.0,toluene,,
TADF-M-00020,451.0,toluene,67.0,toluene,,
TADF-M-00021,460.0,DPEPO,86.0,DPEPO,,
TADF-M-00022,465.0,DPEPO,73.0,DPEPO,,
TADF-M-00023,480.0,DPEPO,76.0,DPEPO,,
TADF-M-00024,460.0,DPEPO,83.0,DPEPO,,
TADF-M-00025,500.0,DPEPO,60.0,DPEPO,,
TADF-M-00026,450.0,DPEPO,73.0,DPEPO,,
TADF-M-00027,483.0,toluene,82.0,toluene,,
TADF-M-00028,531.0,toluene,80.0,toluene,,
TADF-M-00029,452.0,toluene,50.0,toluene,,
TADF-M-00049,452.0,zeonex,71.0,zeonex,,
TADF-M-00050,452.0,zeonex,66.0,zeonex,,
TADF-M-00051,441.0,zeonex,38.0,zeonex,,
TADF-M-00061,549.0,toluene,27.0,toluene,,
TADF-M-00062,557.0,toluene,19.0,toluene,,
TADF-M-00072,535.0,toluene,4.0,toluene,,
TADF-M-00073,575.0,toluene,,,,
TADF-M-00074,544.0,toluene,,,,
TADF-M-00075,455.0,PPT,58.0,PPT,,
TADF-M-00076,485.0,PPT,60.0,PPT,,
TADF-M-00077,483.0,mCP,47.0,mCP,,
TADF-M-00078,493.0,mCP,44.0,mCP,,
TADF-M-00079,495.0,DPEPO,11.0,DPEPO,,
TADF-M-00080,540.0,DPEPO,24.0,DPEPO,,
TADF-M-00081,560.0,DPEPO,36.0,DPEPO,,
TADF-M-00082,510.0,DPEPO,68.0,DPEPO,,
TADF-M-00083,581.0,CBP,28.0,CBP,,
TADF-M-00084,475.0,CBP,48.0,CBP,,
TADF-M-00085,519.0,CBP,65.0,CBP,,
TADF-M-00086,470.0,DPEPO,2.2,DPEPO,,
TADF-M-00087,520.0,DPEPO,13.0,DPEPO,,
TADF-M-00088,476.0,PPF,100.0,PPF,,
TADF-M-00089,483.0,PPF,93.0,PPF,,
TADF-M-00092,455.0,toluene,80.0,DBFPO,,
TADF-M-00093,447.0,toluene,90.0,DBFPO,,
TADF-M-00091,440.0,toluene,38.0,DBFPO,,
TADF-M-00090,458.0,toluene,98.5,toluene,,
TADF-M-00094,458.0,toluene,93.0,DBFPO,50.0,toluene
TADF-M-00095,456.0,toluene,99.0,DBFPO,55.0,toluene
TADF-M-00109,,,39.0,simulation,,
TADF-M-00110,,,40.0,simulation,,
TADF-M-00111,,,3.0,mCP,,
TADF-M-00112,,,28.0,mCP,,
TADF-M-01799,653.0,toluene,84.0,toluene,,
TADF-M-01802,690.0,toluene,57.0,toluene,,
TADF-M-02253,502.0,neat film,20.0,mCP,,
TADF-M-02254,598.0,neat film,17.0,mCP,,
TADF-M-00128,550.0,MeCN,9.0,MeCN,,
TADF-M-00129,,,98.0,toluene,36.0,toluene
TADF-M-00130,,,98.0,toluene,28.0,toluene
TADF-M-00131,,,86.0,toluene,29.0,toluene
TADF-M-00132,,,86.0,toluene,25.0,toluene
TADF-M-02255,451.0,toluene,86.0,toluene,,
TADF-M-02256,483.0,toluene,90.0,toluene,,
TADF-M-02257,458.0,toluene,88.0,toluene,,
TADF-M-02258,457.0,toluene,95.0,toluene,,
TADF-M-02259,456.0,toluene,42.0,neat film,,
TADF-M-02260,459.0,toluene,58.0,neat film,,
TADF-M-02262,472.0,toluene,,,,
TADF-M-02263,475.0,toluene,,,,
TADF-M-00156,462.0,PMMA,,,,
TADF-M-00157,479.0,DPEPO,,,,
TADF-M-02268,438.0,THF,,,,
TADF-M-02269,438.0,THF,,,,
TADF-M-02270,438.0,THF,,,,
TADF-M-02271,437.0,THF,,,,
TADF-M-02272,409.0,THF,,,,
TADF-M-00162,498.0,zeonex,39.0,zeonex,,
TADF-M-00164,478.0,toluene,43.0,toluene,,
TADF-M-00186,632.0,toluene,0.01,toluene,,
TADF-M-00187,694.0,toluene,0.17,zeonex,,
TADF-M-00188,630.0,toluene,0.41,toluene,,
TADF-M-00189,672.0,toluene,0.11,toluene,,
TADF-M-00269,522.0,toluene,0.03,PMMA,,
TADF-M-00270,500.0,toluene,0.04,PMMA,,
TADF-M-00271,481.0,toluene,0.1,toluene,,
TADF-M-00272,471.0,toluene,0.31,toluene,,
TADF-M-00273,527.0,toluene,0.06,PMMA,,
TADF-M-00274,515.0,toluene,0.05,PMMA,,
TADF-M-00283,446.0,DPEPO,,,,
TADF-M-00284,487.0,DPEPO,,,,
TADF-M-00290,543.0,THF,3.5,THF,,
TADF-M-00291,550.0,THF,2.0,THF,,
TADF-M-02273,,,35.6,neat film,,
TADF-M-02274,556.0,toluene,,,,
TADF-M-00312,508.0,toluene,73.0,DPEPO,,
