Molecule_ID,E_ST,condition E_ST,S₁,condition S₁,T₁,condition T₁
TADF-M-02255,,,2870.0,simulation,2700.0,simulation
TADF-M-02256,,,2740.0,simulation,2590.0,simulation
TADF-M-02257,,,2860.0,simulation,2680.0,simulation
TADF-M-02258,,,2820.0,simulation,2520.0,simulation
TADF-M-02259,110.0,simulation,2790.0,simulation,2680.0,simulation
TADF-M-02260,130.0,simulation,2820.0,simulation,2690.0,simulation
TADF-M-02262,130.0,simulation,2630.0,simulation,2500.0,simulation
TADF-M-02263,120.0,simulation,2600.0,simulation,2480.0,simulation
TADF-M-02265,430.0,simulation,3650.0,simulation,3120.0,simulation
TADF-M-02266,200.0,simulation,3290.0,simulation,3090.0,simulation
TADF-M-02267,380.0,simulation,3160.0,simulation,2780.0,simulation
TADF-M-00285,,,3410.0,simulation,2900.0,simulation
TADF-M-00286,,,3260.0,simulation,2730.0,simulation
TADF-M-00287,,,3470.0,simulation,2720.0,simulation
TADF-M-00288,,,3370.0,simulation,2700.0,simulation
TADF-M-00312,20.0,simulation,2740.0,simulation,2720.0,simulation
TADF-M-00313,440.0,simulation,2970.0,simulation,2930.0,simulation
TADF-M-00314,40.0,simulation,3070.0,simulation,2630.0,simulation
TADF-M-00315,430.0,simulation,3490.0,simulation,3060.0,simulation
TADF-M-02288,180.0,simulation,2580.0,simulation,2400.0,simulation
TADF-M-02289,10.0,simulation,2150.0,simulation,2140.0,simulation
TADF-M-02290,200.0,simulation,2250.0,simulation,2050.0,simulation
TADF-M-00140,125.0,simulation,,,,
TADF-M-00361,129.0,simulation,,,,
TADF-M-00369,60.0,simulation,,,,
TADF-M-00370,70.0,simulation,,,,
TADF-M-00371,90.0,simulation,,,,
TADF-M-00372,96.0,simulation,,,,
TADF-M-00373,90.0,simulation,,,,
TADF-M-00374,84.0,simulation,,,,
TADF-M-00375,,,2330.0,simulation,2260.0,simulation
TADF-M-00376,,,2440.0,simulation,2280.0,simulation
TADF-M-00377,90.0,simulation,,,,
TADF-M-00378,70.0,simulation,,,,
TADF-M-00379,20.0,simulation,,,,
TADF-M-00380,210.0,simulation,,,,
TADF-M-00383,280.0,simulation,,,,
TADF-M-00384,120.0,simulation,,,,
TADF-M-00385,50.0,simulation,,,,
TADF-M-00342,170.0,simulation,,,,
TADF-M-00444,,,2860.0,simulation,2700.0,simulation
TADF-M-00445,,,2750.0,simulation,2600.0,simulation
TADF-M-02358,,,4250.0,simulation,3000.0,simulation
TADF-M-02357,,,4270.0,simulation,3000.0,simulation
TADF-M-02359,,,4200.0,simulation,3000.0,simulation
TADF-M-02374,220.0,simulation,,,,
TADF-M-02375,10.0,simulation,,,,
TADF-M-00471,140.0,simulation,,,,
TADF-M-00472,130.0,simulation,,,,
TADF-M-00473,130.0,simulation,,,,
TADF-M-00498,,,4640.0,simulation,3000.0,simulation
TADF-M-00499,,,4780.0,simulation,2970.0,simulation
TADF-M-00500,,,4710.0,simulation,3000.0,simulation
TADF-M-00502,,,2430.0,simulation,2420.0,simulation
TADF-M-00503,,,2300.0,simulation,2280.0,simulation
TADF-M-00508,330.0,simulation,,,,
TADF-M-00509,230.0,simulation,,,,
TADF-M-00510,160.0,simulation,,,,
TADF-M-00001,289.0,simulation,,,,
TADF-M-00521,311.0,simulation,,,,
TADF-M-00522,418.0,simulation,,,,
TADF-M-00523,203.0,simulation,,,,
TADF-M-00524,261.0,simulation,,,,
TADF-M-00525,330.0,simulation,,,,
TADF-M-00526,288.0,simulation,,,,
TADF-M-00527,239.0,simulation,,,,
TADF-M-00528,299.0,simulation,,,,
TADF-M-00529,284.0,simulation,,,,
TADF-M-00562,330.0,simulation,,,,
TADF-M-00563,270.0,simulation,,,,
TADF-M-02407,,,,,2660.0,simulation
TADF-M-02408,,,,,2480.0,simulation
TADF-M-02409,,,,,2450.0,simulation
TADF-M-02410,3200.0,simulation,,,,
TADF-M-02411,5300.0,simulation,,,,
TADF-M-02412,11300.0,simulation,,,,
TADF-M-02413,115.0,simulation,,,,
TADF-M-02414,70.0,simulation,,,,
TADF-M-00582,70.0,simulation,,,,
TADF-M-00584,150.0,simulation,,,,
TADF-M-00583,140.0,simulation,,,,
TADF-M-00585,150.0,simulation,,,,
TADF-M-00586,170.0,simulation,,,,
TADF-M-00598,,,,,2840.0,simulation
TADF-M-00599,,,,,2860.0,simulation
TADF-M-00603,,,,,3000.0,simulation
TADF-M-00602,,,,,3000.0,simulation
TADF-M-00609,1280.0,simulation,,,,
TADF-M-00610,720.0,simulation,,,,
TADF-M-00611,520.0,simulation,,,,
TADF-M-00612,860.0,simulation,,,,
TADF-M-00613,820.0,simulation,,,,
TADF-M-00614,730.0,simulation,,,,
TADF-M-00615,730.0,simulation,,,,
TADF-M-00616,770.0,simulation,,,,
TADF-M-00617,420.0,simulation,,,,
TADF-M-00618,1200.0,simulation,,,,
TADF-M-00619,950.0,simulation,,,,
TADF-M-00620,970.0,simulation,,,,
TADF-M-00621,860.0,simulation,,,,
TADF-M-00622,620.0,simulation,,,,
TADF-M-00623,800.0,simulation,,,,
TADF-M-00624,810.0,simulation,,,,
TADF-M-00625,750.0,simulation,,,,
TADF-M-00626,360.0,simulation,,,,
TADF-M-00627,,,3860.0,simulation,3170.0,simulation
TADF-M-00628,,,3900.0,simulation,3170.0,simulation
TADF-M-00629,,,3340.0,simulation,3210.0,simulation
TADF-M-00638,252.0,simulation,,,,
TADF-M-00639,157.0,simulation,,,,
