Name,SMILES,PAPER,extra-info,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Molecule_IDs
1a,c1(N2c3ccccc3c4ccccc24)cc(N5c6ccccc6c7ccccc57)ncn1,Achelle_等_-_2022_-_Diazine-based_thermally_activat,,,,,,,,,,,,,,,,,TADF-M-00000
1b,CC(C)(c1cc(c2c(N3c4nc(SC)nc(N5c6c(c7c5ccc(C(C)(C)C)c7)cc(C(C)(C)C)cc6)c4C)ccc(C(C)(C)C)c2)c3cc1)C,Achelle_等_-_2022_-_Diazine-based_thermally_activat,,,,,,,,,,,,,,,,,TADF-M-00001
2a,N#Cc1c(N2c3ccccc3c4ccccc24)ncnc1N5c6ccccc6c7ccccc57,Achelle_等_-_2022_-_Diazine-based_thermally_activat,,,,,,,,,,,,,,,,,TADF-M-00002
2b,CC(C)(c1cc2c(N(c3c2cc(C(C)(C)C)cc3)c4ncnc(N5c6ccc(C(C)(C)C)cc6c7cc(C(C)(C)C)ccc57)c4C#N)cc1)C,Achelle_等_-_2022_-_Diazine-based_thermally_activat,,,,,,,,,,,,,,,,,TADF-M-00003
2c,N#Cc1c(N2c3ccc(OC)cc3c4cc(OC)ccc24)ncnc1N5c6ccc(OC)cc6c7cc(OC)ccc57,Achelle_等_-_2022_-_Diazine-based_thermally_activat,,,,,,,,,,,,,,,,,TADF-M-00004
3,Cc1c2c(c3c(N2c4ccc(c5nc(c6ccccc6)cc(c7ccccc7)n5)cc4)cccc3)ccc1,Achelle_等_-_2022_-_Diazine-based_thermally_activat,,,,,,,,,,,,,,,,,TADF-M-00005
4,Cc1nc(c2ccc(N3c4ccccc4c5ccccc35)cc2)cc(c6ccc(N7c8ccccc8c9ccccc79)cc6)n1,Achelle_等_-_2022_-_Diazine-based_thermally_activat,,,,,,,,,,,,,,,,,TADF-M-00006
5,CSc1nc(c2ccc(N3c4ccccc4c5ccccc35)cc2)cc(c6ccc(N7c8ccccc8c9ccccc79)cc6)n1,Achelle_等_-_2022_-_Diazine-based_thermally_activat,,,,,,,,,,,,,,,,,TADF-M-00007
6a,CCC1=CC=C(c2nc(c3ccc(N4c5ccccc5c6ccccc46)cc3)cc(c7ccc(N8c9ccccc9c%10ccccc8%10)cc7)n2)C=C1,Achelle_等_-_2022_-_Diazine-based_thermally_activat,,,,,,,,,,,,,,,,,TADF-M-00008
6b,CN(C1=CC=C(c2nc(c3ccc(N4c5ccccc5c6ccccc46)cc3)cc(c7ccc(N8c9ccccc9c%10ccccc8%10)cc7)n2)C=C1)C,Achelle_等_-_2022_-_Diazine-based_thermally_activat,,,,,,,,,,,,,,,,,TADF-M-00009
7a,N1(C(C=CC=C2)=C2C3=C1C=CC=C3)c4ccc(C5=CC(c6ccc(N7C(C=CC=C8)=C8C9=C7C=CC=C9)cc6)=NC=N5)cc4,Achelle_等_-_2022_-_Diazine-based_thermally_activat,,,,,,,,,,,,,,,,,TADF-M-00010
7b,N1(C(C=CC(C(C2=CC=CC=C2)C3=CC=CC=C3)=C4)=C4C5=C1C=CC(C(C6=CC=CC=C6)C7=CC=CC=C7)=C5)c8ccc(C9=CC(c%10ccc(N%11C(C=CC(C(C%12=CC=CC=C%12)C%13=CC=CC=C%13)=C%14)=C%14C%15=C%11C=CC(C(C%16=CC=CC=C%16)C%17=CC=CC=C%17)=C%15)cc%10)=NC=N9)cc8,Achelle_等_-_2022_-_Diazine-based_thermally_activat,,,,,,,,,,,,,,,,,TADF-M-00011
8,c1(C2C(C=CC=C3)=C3C4=C2C=CC=C4)cc(C5=CC(c6cc(C7C(C=CC=C8)=C8C9=C7C=CC=C9)cc(C%10C(C=CC=C%11)=C%11C%12=C%10C=CC=C%12)c6)=NC=N5)cc(C%13C(C=CC=C%14)=C%14C%15=C%13C=CC=C%15)c1,Achelle_等_-_2022_-_Diazine-based_thermally_activat,,,,,,,,,,,,,,,,,TADF-M-00012
9,c1(C2C(C=CC=C3)=C3C4=C2C=CC=C4)c(C5C(C=CC=C6)=C6C7=C5C=CC=C7)cc(C8=CC(c9cc(C%10C(C=CC=C%11)=C%11C%12=C%10C=CC=C%12)c(C%13C(C=CC=C%14)=C%14C%15=C%13C=CC=C%15)c(C%16C(C=CC=C%17)=C%17C%18=C%16C=CC=C%18)c9)=NC=N8)cc1C%19C(C=CC=C%20)=C%20C%21=C%19C=CC=C%21,Achelle_等_-_2022_-_Diazine-based_thermally_activat,,,,,,,,,,,,,,,,,TADF-M-00013
10d,O=C(C=C)OCc1ccc(c2ccc(C3=NC(c4ccc(N5C(C=CC=C6)=C6C7=C5C=CC=C7)cc4)=CC(c8ccc(N9C(C=CC=C%10)=C%10C%11=C9C=CC=C%11)cc8)=N3)cc2)cc1,Achelle_等_-_2022_-_Diazine-based_thermally_activat,,,,,,,,,,,,,,,,,TADF-M-00014
10e,O=C(C=C)OCc1ccc(c2ccc(C3=NC(c4ccc(N5C(C=CC(C(C6=CC=C(C)C=C6)C7=CC=C(C)C=C7)=C8)=C8C9=C5C=CC(C(C%10=CC=C(C)C=C%10)C%11=CC=C(C)C=C%11)=C9)cc4)=CC(c%12ccc(N%13C(C=CC(N(C%14=CC=C(C)C=C%14)C%15=CC=C(C)C=C%15)=C%16)=C%16C%17=C%13C=CC(N(C%18=CC=C(C)C=C%18)C%19=CC=C(C)C=C%19)=C%17)cc%12)=N3)cc2)cc1,Achelle_等_-_2022_-_Diazine-based_thermally_activat,,,,,,,,,,,,,,,,,TADF-M-00015
13,c1(Oc2c3ccc4c2c5c(N4c6ccc(c7nc(c8ccccc8)nc(c9ccccc9)c7)cc6)cccc5)c3cccc1,Achelle_等_-_2022_-_Diazine-based_thermally_activat,,,,,,,,,,,,,,,,,TADF-M-00016
14,c1(Sc2c3ccc4c2c5c(N4c6ccc(c7nc(c8ccccc8)nc(c9ccccc9)c7)cc6)cccc5)c3cccc1,Achelle_等_-_2022_-_Diazine-based_thermally_activat,,,,,,,,,,,,,,,,,TADF-M-00017
15,c1ccc(-c2cc(-c3ccc(-n4c5ccccc5c5cc(N(c6ccccc6)c6ccccc6)ccc54)cc3)nc(-c3ccccc3)n2)cc1,Achelle_等_-_2022_-_Diazine-based_thermally_activat,,,,,,,,,,,,,,,,,TADF-M-00018
16,c1ccc(-c2cc(-c3ccccc3)nc(-c3ccc(-n4c5ccccc5c5cc(N(c6ccccc6)c6ccccc6)ccc54)cc3)n2)cc1,Achelle_等_-_2022_-_Diazine-based_thermally_activat,,,,,,,,,,,,,,,,,TADF-M-00019
17,c1ccc(-c2cc(-c3ccc(-n4c5ccccc5c5c6c7ccccc7n(-c7ccc(-c8cc(-c9ccccc9)nc(-c9ccccc9)n8)cc7)c6ccc54)cc3)nc(-c3ccccc3)n2)cc1,Achelle_等_-_2022_-_Diazine-based_thermally_activat,,,,,,,,,,,,,,,,,TADF-M-00020
18a,N#Cc1c(c2ccccc2)nc(c3ccc(N4c5c(c6c4cccc6)ccc7c5C(C=CC=C8)=C8N7C9=CC=CC=C9)cc3)nc1c%10ccccc%10,Achelle_等_-_2022_-_Diazine-based_thermally_activat,,,,,,,,,,,,,,,,,TADF-M-00021
