Molecule_ID,SMILES
TADF-M-00000,c1ccc2c(c1)c1ccccc1n2-c1cc(-n2c3ccccc3c3ccccc32)ncn1
TADF-M-00001,CSc1nc(-n2c3ccc(C(C)(C)C)cc3c3cc(C(C)(C)C)ccc32)c(C)c(-n2c3ccc(C(C)(C)C)cc3c3cc(C(C)(C)C)ccc32)n1
TADF-M-00002,N#Cc1c(-n2c3ccccc3c3ccccc32)ncnc1-n1c2ccccc2c2ccccc21
TADF-M-00003,CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)ccc1n2-c1ncnc(-n2c3ccc(C(C)(C)C)cc3c3cc(C(C)(C)C)ccc32)c1C#N
TADF-M-00004,COc1ccc2c(c1)c1cc(OC)ccc1n2-c1ncnc(-n2c3ccc(OC)cc3c3cc(OC)ccc32)c1C#N
TADF-M-00005,Cc1cccc2c3ccccc3n(-c3ccc(-c4nc(-c5ccccc5)cc(-c5ccccc5)n4)cc3)c12
TADF-M-00006,Cc1nc(-c2ccc(-n3c4ccccc4c4ccccc43)cc2)cc(-c2ccc(-n3c4ccccc4c4ccccc43)cc2)n1
TADF-M-00007,CSc1nc(-c2ccc(-n3c4ccccc4c4ccccc43)cc2)cc(-c2ccc(-n3c4ccccc4c4ccccc43)cc2)n1
TADF-M-00008,CCc1ccc(-c2nc(-c3ccc(-n4c5ccccc5c5ccccc54)cc3)cc(-c3ccc(-n4c5ccccc5c5ccccc54)cc3)n2)cc1
TADF-M-00009,CN(C)c1ccc(-c2nc(-c3ccc(-n4c5ccccc5c5ccccc54)cc3)cc(-c3ccc(-n4c5ccccc5c5ccccc54)cc3)n2)cc1
TADF-M-00010,c1ccc2c(c1)c1ccccc1n2-c1ccc(-c2cc(-c3ccc(-n4c5ccccc5c5ccccc54)cc3)ncn2)cc1
TADF-M-00011,c1ccc(C(c2ccccc2)c2ccc3c(c2)c2cc(C(c4ccccc4)c4ccccc4)ccc2n3-c2ccc(-c3cc(-c4ccc(-n5c6ccc(C(c7ccccc7)c7ccccc7)cc6c6cc(C(c7ccccc7)c7ccccc7)ccc65)cc4)ncn3)cc2)cc1
TADF-M-00012,c1ccc2c(c1)-c1ccccc1C2c1cc(-c2cc(-c3cc(C4c5ccccc5-c5ccccc54)cc(C4c5ccccc5-c5ccccc54)c3)ncn2)cc(C2c3ccccc3-c3ccccc32)c1
TADF-M-00013,c1ccc2c(c1)-c1ccccc1C2c1cc(-c2cc(-c3cc(C4c5ccccc5-c5ccccc54)c(C4c5ccccc5-c5ccccc54)c(C4c5ccccc5-c5ccccc54)c3)ncn2)cc(C2c3ccccc3-c3ccccc32)c1C1c2ccccc2-c2ccccc21
TADF-M-00014,C=CC(=O)OCc1ccc(-c2ccc(-c3nc(-c4ccc(-n5c6ccccc6c6ccccc65)cc4)cc(-c4ccc(-n5c6ccccc6c6ccccc65)cc4)n3)cc2)cc1
TADF-M-00015,C=CC(=O)OCc1ccc(-c2ccc(-c3nc(-c4ccc(-n5c6ccc(C(c7ccc(C)cc7)c7ccc(C)cc7)cc6c6cc(C(c7ccc(C)cc7)c7ccc(C)cc7)ccc65)cc4)cc(-c4ccc(-n5c6ccc(N(c7ccc(C)cc7)c7ccc(C)cc7)cc6c6cc(N(c7ccc(C)cc7)c7ccc(C)cc7)ccc65)cc4)n3)cc2)cc1
